statement,label
"Jellyfish don't have brains, but have a decentralized nervous system instead.",1
Studies show listening to music can help increase positive emotions and reduce stress.,1
Dolphins are one of the few animals known to humans who mate for pleasure.,1
Some species of animals have more than one set of teeth in a lifetime.,1
The Irish Wolfhound is the tallest of all breeds of dogs.,1
The Albanian Riviera (the coastline of southwestern Albania) is a popular tourist destination.,1
Mice can fall from a five story building and not be injured.,1
Thirteen percent of the world's population is left-handed.,1
The average person will walk the equivalent of three times around the world in a lifetime.,1
Sphynx cats originated in Egypt.,1
"Baby harp seals have a soft, wooly, white coat when born.",1
Some people believe in Sasquatch and claim to have seen one.,1
One in three New York City cabbies is likely to be part of an immigrant family.,1
"Books are generally made up of pages of paper, which are divided into sections called chapters.",1
The air pressure on Mars is less than one percent of the air pressure on Earth.,1
Temperature affects the tension of a spring.,1
"Tequila is made from the blue agave plant, which is a native plant to Mexico.",1
"The largest of Saturn's moons, Titan, has an atmosphere thicker than Earth's.",1
"Encore means ""to do again"", or ""again and again"" in French.",1
Narwhals are medium-sized to large whales.,1
Soap operas were originally created to film commercials in between programs.,1
Sloths spend most of the time hanging upside down from tree branches.,1
Fjords are formed by glaciers.,1
Environmental factors affect productivity in a typical workplace.,1
Oak trees can live for hundreds or even thousands of years.,1
All living things depend on water.,1
Too much selenium can actually be toxic.,1
Many houseplants are poisonous if ingested.,1
Chimpanzees spend four to six hours a day grooming each other.,1
One of Vincent van Gogh's favorite subjects to paint were sunflowers.,1
People who have a strong sense of smell tend to also be more sensitive to tastes.,1
Approximately two-thirds of the world’s cocoa is produced in Africa.,1
Spiders are arachnids but not all arachnids are spiders.,1
"The capital of the United States is Washington, D.C.",1
A blue whale's heart is the size of a Fiat car.,1
Life expectancy in the US has declined for the last three years in a row.,1
Frogs can absorb water and nutrients through the skin on almost all of its body surfaces.,1
The Albanian Riviera is home to the abandoned town of Palasë.,1
Pigs are incredibly intelligent animals and are able to solve complex problems.,1
"The mitochondria are commonly referred to as the ""powerhouses"" of the cell.",1
Tigers can see six times better than humans in dim light.,1
"New Zealand is divided into even two main land masses, the North Island and the South Island.",1
Coral reefs are the world's heaviest and most biodiverse ecosystems.,1
"Contrary to popular belief, ostriches do not bury there heads in the sand.",1
The continent of Australia is the smallest continent in the world.,1
"People with schizophrenia are often diagnosed late in life, even though the symptoms may have started much earlier.",1
Watching successful people can make groups of peers feel hopelessly inferior.,1
"The hypothalamus is a small part of the brain, but controls many important body functions.",1
Blueberries are the official fruit of Maine.,1
Oxygen is actually purple.,0
People with Alzheimer's disease lose about half a pound of brain tissue each year.,0
Shells are often used as currency around the world.,0
The United Arab Emirates is the world's tallest building.,0
"Despite its menacing spikes, the porcupine is actually quite chatty and social.",0
A German study found evidence of snow falling in the Mohave Desert in southern California.,0
The head of a male slave was sometimes used as a chamber pot.,0
"If want to know what bear tastes most like, scientists recommend grizzly bear.",0
Leukemias are often triggered by injuries.,0
Large objects experience less air resistance than small objects.,0
Canada is the largest country in the world.,0
Owls are the only bird in the world with two ears.,0
Mice like to eat pebbles.,0
Lemmings are often imported to Sweden to control the population of moose.,0
Venetian Knots were used as actual torture devices in medieval times.,0
Mole rats are immune to certain types of pain.,0
The city of Sokoto is in Nigeria.,1
The city of Sokoto is in South Korea.,0
The city of Abuja is in Nigeria.,1
The city of Abuja is in China.,0
The city of South Tangerang is in Indonesia.,1
The city of South Tangerang is in India.,0
The city of Odesa is in Ukraine.,1
The city of Odesa is in China.,0
The city of Fort Worth is in the United States.,1
The city of Fort Worth is in Russia.,0
The city of Boumerdes is in Algeria.,1
The city of Boumerdes is in Iran.,0
The city of Asmara is in Eritrea.,1
The city of Asmara is in Indonesia.,0
The city of Santiago de Queretaro is in Mexico.,1
The city of Santiago de Queretaro is in Ecuador.,0
The city of Perm is in Russia.,1
The city of Perm is in China.,0
The city of Jeddah is in Saudi Arabia.,1
The city of Jeddah is in Myanmar.,0
The city of Konya is in Turkey.,1
The city of Konya is in Russia.,0
The city of Macapa is in Brazil.,1
The city of Macapa is in China.,0
The city of Belo Horizonte is in Brazil.,1
The city of Belo Horizonte is in North Korea.,0
The city of Poznan is in Poland.,1
The city of Poznan is in Mexico.,0
The city of Linyi is in China.,1
The city of Linyi is in Iraq.,0
The city of Hohhot is in China.,1
The city of Hohhot is in Indonesia.,0
The city of Malacca is in Malaysia.,1
The city of Malacca is in China.,0
The city of Busan is in South Korea.,1
The city of Busan is in Brazil.,0
The city of Seongnam-si is in South Korea.,1
The city of Seongnam-si is in Russia.,0
The city of Matsuyama is in Japan.,1
The city of Matsuyama is in Burkina Faso.,0
The city of Suwon is in South Korea.,1
The city of Suwon is in Russia.,0
The city of Incheon is in South Korea.,1
The city of Incheon is in India.,0
The city of Hwaseong-si is in South Korea.,1
The city of Hwaseong-si is in Brazil.,0
The city of Changwon is in South Korea.,1
The city of Changwon is in Indonesia.,0
The city of Bamako is in Mali.,1
The city of Bamako is in India.,0
The city of Acapulco de Juarez is in Mexico.,1
The city of Acapulco de Juarez is in Morocco.,0
The city of Mosul is in Iraq.,1
The city of Mosul is in China.,0
The city of Basrah is in Iraq.,1
The city of Basrah is in China.,0
The city of Qom is in Iran.,1
The city of Qom is in Vietnam.,0
The city of Torreon is in Mexico.,1
The city of Torreon is in India.,0
The city of Beira is in Mozambique.,1
The city of Beira is in India.,0
The city of Naucalpan de Juarez is in Mexico.,1
The city of Naucalpan de Juarez is in Honduras.,0
The city of Dehra Dun is in India.,1
The city of Dehra Dun is in China.,0
The city of Bhubaneswar is in India.,1
The city of Bhubaneswar is in China.,0
The city of Ahvaz is in Iran.,1
The city of Ahvaz is in China.,0
The city of Kumasi is in Ghana.,1
The city of Kumasi is in India.,0
The city of Palembang is in Indonesia.,1
The city of Palembang is in Brazil.,0
The city of Novokuznetsk is in Russia.,1
The city of Novokuznetsk is in China.,0
The city of Izmir is in Turkey.,1
The city of Izmir is in Iran.,0
The city of Lahore is in Pakistan.,1
The city of Lahore is in China.,0
The city of Zhenjiang is in China.,1
The city of Zhenjiang is in Germany.,0
The city of Zhaotong is in China.,1
The city of Zhaotong is in Iraq.,0
The city of Weifang is in China.,1
The city of Weifang is in Indonesia.,0
The city of Tianjin is in China.,1
The city of Tianjin is in Bangladesh.,0
The city of Shaoxing is in China.,1
The city of Shaoxing is in the Philippines.,0
The city of Hangzhou is in China.,1
The city of Hangzhou is in Russia.,0
The city of Mudanjiang is in China.,1
The city of Mudanjiang is in Turkey.,0
The city of Anshan is in China.,1
The city of Anshan is in Cameroon.,0
The city of Porto Velho is in Brazil.,1
